receiptID,competitiveProduct,originalMetaBriteBarcode,originalFinalPrice,pointsNotAwardedReason,preventTargetGapPoints,competitorRewardsGroup,originalMetaBriteDescription,userFlaggedQuantity,itemNumber,barcode,originalMetaBriteItemPrice,rewardsGroup,userFlaggedDescription,finalPrice,userFlaggedNewItem,needsFetchReview,pointsPayerId,deleted,userFlaggedBarcode,itemPrice,originalMetaBriteQuantityPurchased,description,userFlaggedPrice,priceAfterCoupon,metabriteCampaignId,pointsEarned,targetPrice,quantityPurchased,brandCode,needsFetchReviewReason,rewardsProductPartnerId,originalReceiptItemText,partnerItemId,discountedItemPrice
5ff1e1eb0a720f0523000575,,,,,True,,,5.0,,4011,,,,26.00,True,False,,,4011,26.00,,ITEM NOT FOUND,26.00,,,,,5.0,,,,,1,
5ff1e1bb0a720f052300056b,,,,,,,,,,4011,,,,1,,,,,,1,,ITEM NOT FOUND,,,,,,1.0,,,,,1,
5ff1e1bb0a720f052300056b,,,,Action not allowed for user and CPG,True,,,1.0,,028400642255,,DORITOS SPICY SWEET CHILI SINGLE SERVE,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,True,True,5332f5fbe4b03c9a25efd0ba,,028400642255,10.00,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,,,,,1.0,,USER_FLAGGED,5332f5fbe4b03c9a25efd0ba,,2,
5ff1e1f10a720f052300057a,,,,,True,,,3.0,,,,,,,True,False,,,4011,,,,26.00,,,,,,,,,,1,
5ff1e1ee0a7214ada100056f,,,,,True,,,4.0,,4011,,,,28.00,True,False,,,4011,28.00,,ITEM NOT FOUND,28.00,,,,,4.0,,,,,1,
5ff1e1d20a7214ada1000561,,,,,,,,,,4011,,,,1,,,,,,1,,ITEM NOT FOUND,,,,,,1.0,,,,,1,
5ff1e1d20a7214ada1000561,,,,,True,,,3.0,,1234,,,,2.56,True,True,,,1234,2.56,,,2.56,,,,,3.0,,USER_FLAGGED,,,2,
5ff1e1e40a7214ada1000566,,028400642255,,Action not allowed for user and CPG,True,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,4011,,DORITOS SPICY SWEET CHILI SINGLE SERVE,,3.25,,False,5332f5fbe4b03c9a25efd0ba,,4011,3.25,,ITEM NOT FOUND,,,,,,1.0,,,5332f5fbe4b03c9a25efd0ba,,1,
5ff1e1cd0a720f052300056f,,,,,,TACO BELL TACO SHELLS,,,,,,,,2.23,,,,,,2.23,,MSSN TORTLLA,,,,,,1.0,MISSION,,,MSSN TORTLLA,1009,2.23
5ff1e1a40a720f0523000569,,,,Action not allowed for user and CPG,,,,,,046000832517,,OLD EL PASO BEANS & PEPPERS,,10.00,,,5332f5f3e4b03c9a25efd0ae,,,10.00,,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",,,,,,1.0,BRAND,,5332f5f3e4b03c9a25efd0ae,,0,
5ff1e1ed0a7214ada100056e,,,,,True,,,5.0,,4011,,,,20.00,True,False,,,4011,20.00,,ITEM NOT FOUND,20.00,,,,,5.0,,,,,1,
5ff1e1eb0a7214ada100056b,,,,,True,,,3.0,,4011,,,,20.00,True,False,,,4011,20.00,,ITEM NOT FOUND,20.00,,,,,3.0,,,,,1,
5ff1e1c50a720f052300056c,,,,,,,,,,4011,,,,1,,,,,,1,,ITEM NOT FOUND,,,,,,1.0,,,,,1,
5ff1e1a10a720f0523000568,,,,Action not allowed for user and CPG,,,,,013562300631,013562300631,,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,,50.00,,True,5332f5f3e4b03c9a25efd0ae,,,50.00,1.0,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",,,,,,5.0,,POINTS_GREATER_THAN_THRESHOLD,5332f5f3e4b03c9a25efd0ae,,1,50.00
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,1,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,2,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,3,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,4,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,5,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,6,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,7,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,8,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,9,
5ff1e1b60a7214ada100055c,,,,,,,,,,034100573065,,MILLER LITE 24 PACK,,29,,,5332f709e4b03c9a25efd0f1,,,29,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,77,1.0,,,5332f709e4b03c9a25efd0f1,,10,
5f9c74f70a7214ad07000037,True,,,,,,,,,075925306254,,KRAFT NATURAL CHEESE - SHREDDED,,1,,,,,,1,,,,,,,,1.0,,,559c2234e4b06aca36af13c6,,1,
5f9c74f70a7214ad07000037,,,,,True,,,1.0,,,,,MILLER LITE 24 PACK 12OZ CAN,,True,True,,,034100573065,,,,29.00,,,,,,,USER_FLAGGED,,,2,
5f9c74f70a7214ad07000037,,,,,True,,,1.0,,,,,MILLER LITE 24 PACK 12OZ CAN,,True,True,,,034100573065,,,,29.00,,,,,,,USER_FLAGGED,,,3,
5f9c74f70a7214ad07000037,,,,,True,,,1.0,,,,,MILLER LITE 24 PACK 12OZ CAN,,True,True,,,034100573065,,,,29.00,,,,,,,USER_FLAGGED,,,4,
5f9c74f70a7214ad07000037,,,,,True,,,1.0,,,,,MILLER LITE 24 PACK 12OZ CAN,,True,True,,,034100573065,,,,29.00,,,,,,,USER_FLAGGED,,,5,
5f9c74f70a7214ad07000037,,,,,True,,,1.0,,,,,MILLER LITE 24 PACK 12OZ CAN,,True,True,,,034100573065,,,,29.00,,,,,,,USER_FLAGGED,,,6,
5f9c74f70a7214ad07000037,,,,,True,,,1.0,,,,,MILLER LITE 24 PACK 12OZ CAN,,True,True,,,034100573065,,,,29.00,,,,,,,USER_FLAGGED,,,7,
